id,family,base_rate,base_rate_pct,base_rate_se,template,description
count_hearts_ge_3,COUNT,0.15616,15.62,0.001623,λh. count(suit=hearts) ge 3,Number of hearts is ge 3
count_hearts_le_0,COUNT,0.1573,15.73,0.001628,λh. count(suit=hearts) le 0,Number of hearts is le 0
count_clubs_le_0,COUNT,0.15806,15.81,0.001631,λh. count(suit=clubs) le 0,Number of clubs is le 0
count_spades_ge_3,COUNT,0.15808,15.81,0.001632,λh. count(suit=spades) ge 3,Number of spades is ge 3
unique_ranks_eq_4,COUNT,0.1592,15.92,0.001636,λh. unique_ranks(h) eq 4,Number of unique_ranks is eq 4
count_diamonds_eq_0,COUNT,0.1605,16.05,0.001642,λh. count(suit=diamonds) eq 0,Number of diamonds is eq 0
count_spades_le_0,COUNT,0.16056,16.06,0.001642,λh. count(suit=spades) le 0,Number of spades is le 0
count_spades_eq_0,COUNT,0.16066,16.07,0.001642,λh. count(suit=spades) eq 0,Number of spades is eq 0
count_clubs_eq_0,COUNT,0.16092,16.09,0.001643,λh. count(suit=clubs) eq 0,Number of clubs is eq 0
count_diamonds_ge_3,COUNT,0.16094,16.09,0.001643,λh. count(suit=diamonds) ge 3,Number of diamonds is ge 3
count_hearts_eq_0,COUNT,0.16164,16.16,0.001646,λh. count(suit=hearts) eq 0,Number of hearts is eq 0
count_diamonds_le_0,COUNT,0.1641,16.41,0.001656,λh. count(suit=diamonds) le 0,Number of diamonds is le 0
all_but_one_same_color,GLOBAL,0.16756,16.76,0.00167,λh. all_but_one_same_color(h),All but at most one card share the same color
unique_ranks_le_4,COUNT,0.1678,16.78,0.001671,λh. unique_ranks(h) le 4,Number of unique_ranks is le 4
all_but_one_same_parity,GLOBAL,0.17428,17.43,0.001697,λh. all_but_one_same_parity(h),All but at most one card share the same parity
count_face_cards_eq_0,COUNT,0.188,18.8,0.001747,λh. count(face_cards) eq 0,Number of face_cards is eq 0
count_even_ranks_eq_2,COUNT,0.19792,19.79,0.001782,λh. count(even_ranks) eq 2,Number of even_ranks is eq 2
count_high_cards_eq_1,COUNT,0.19888,19.89,0.001785,λh. count(high_cards) eq 1,Number of high_cards is eq 1
Ends_same_suit,ENDS,0.23826,23.83,0.001905,λh. suit(first(h)) = suit(last(h)),First and last cards have the same suit
Halves_copy_face,HALVES_COPY,0.25088,25.09,0.001939,"λh. map(face, L(h)) = map(face, R(h))",Right half copies left half in face
Palindrome_face,PALINDROME,0.25132,25.13,0.00194,"λh. map(face, h) = reverse(map(face, h))",The sequence of face values is a palindrome
adj_diff_suit,ADJACENT,0.25548,25.55,0.00195,"λh. ∀i. diff_suit(h[i], h[i+1])",Every pair at offset 1 satisfies diff_suit
count_high_cards_eq_3,COUNT,0.2799,27.99,0.002008,λh. count(high_cards) eq 3,Number of high_cards is eq 3
